phase;model;dataset;seed;combo_id;timestamp;test_accuracy;test_f1_macro;test_precision_macro;test_recall_macro;test_elapsed_sec;val_accuracy;val_f1_macro;val_precision_macro;val_recall_macro;file;model_cfg_json;files_json;columns_json
phase2_tuning;logreg;imdb;101;1;20251106_004143;0.87944;0.8794353055001515;0.8794991071377364;0.87944;18.924724800046533;0.878;0.8779492073421276;0.8786302831144837;0.878;results\tuning\logreg_imdb_combo1_s101_20251106_004143.json;"{""C"": 0.5, ""class_weight"": null, ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}";"{""text"": ""text"", ""label"": ""label""}"
phase2_tuning;logreg;imdb;102;1;20251106_004204;0.87928;0.8792734602916346;0.8793621995944285;0.8792800000000001;18.94267379993107;0.8944;0.8943577430972389;0.8950320512820513;0.8944;results\tuning\logreg_imdb_combo1_s102_20251106_004204.json;"{""C"": 0.5, ""class_weight"": null, ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}";"{""text"": ""text"", ""label"": ""label""}"
phase2_tuning;logreg;imdb;101;2;20251106_004224;0.88508;0.8850787332918297;0.8850969787717553;0.88508;18.649484800058417;0.8832;0.8831700915434351;0.8835927990262029;0.8832;results\tuning\logreg_imdb_combo2_s101_20251106_004224.json;"{""C"": 1.0, ""class_weight"": null, ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}";"{""text"": ""text"", ""label"": ""label""}"
phase2_tuning;logreg;imdb;102;2;20251106_004245;0.88512;0.8851166001866193;0.8851655937460603;0.88512;19.33156190009322;0.898;0.8979608006211666;0.8986125239488006;0.8979999999999999;results\tuning\logreg_imdb_combo2_s102_20251106_004245.json;"{""C"": 1.0, ""class_weight"": null, ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}";"{""text"": ""text"", ""label"": ""label""}"
phase2_tuning;logreg;imdb;101;3;20251106_004309;0.88844;0.8884396385444289;0.8884450342476438;0.88844;22.079964800039306;0.8884;0.8883849810830545;0.888609164996968;0.8884000000000001;results\tuning\logreg_imdb_combo3_s101_20251106_004309.json;"{""C"": 2.0, ""class_weight"": null, ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}";"{""text"": ""text"", ""label"": ""label""}"
phase2_tuning;logreg;imdb;102;3;20251106_004332;0.88872;0.8887198604101929;0.8887219504512587;0.88872;20.943330600042827;0.9028;0.902778704647466;0.9031532267311327;0.9028;results\tuning\logreg_imdb_combo3_s102_20251106_004332.json;"{""C"": 2.0, ""class_weight"": null, ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}";"{""text"": ""text"", ""label"": ""label""}"
phase2_tuning;logreg;imdb;101;4;20251106_004354;0.88508;0.8850787332918297;0.8850969787717553;0.88508;20.65919220005162;0.8832;0.8831700915434351;0.8835927990262029;0.8832;results\tuning\logreg_imdb_combo4_s101_20251106_004354.json;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}";"{""text"": ""text"", ""label"": ""label""}"
phase2_tuning;logreg;imdb;102;4;20251106_004414;0.88512;0.8851166001866193;0.8851655937460603;0.88512;18.708789100055583;0.898;0.8979608006211666;0.8986125239488006;0.8979999999999999;results\tuning\logreg_imdb_combo4_s102_20251106_004414.json;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}";"{""text"": ""text"", ""label"": ""label""}"
phase2_tuning;logreg;imdb;101;5;20251106_004435;0.88504;0.88503876320103;0.8850565703704267;0.88504;19.09678890008945;0.8832;0.8831700915434351;0.8835927990262029;0.8832;results\tuning\logreg_imdb_combo5_s101_20251106_004435.json;"{""C"": 1.0, ""class_weight"": null, ""solver"": ""saga"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}";"{""text"": ""text"", ""label"": ""label""}"
phase2_tuning;logreg;imdb;102;5;20251106_004455;0.88512;0.8851166994487285;0.8851642624607792;0.88512;18.50328829989303;0.898;0.8979608006211666;0.8986125239488006;0.8979999999999999;results\tuning\logreg_imdb_combo5_s102_20251106_004455.json;"{""C"": 1.0, ""class_weight"": null, ""solver"": ""saga"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}";"{""text"": ""text"", ""label"": ""label""}"
