model;combo_id;n_runs;datasets;seeds;val_f1_mean;val_f1_std;val_acc_mean;val_acc_std;val_prec_mean;val_rec_mean;test_f1_mean;test_f1_std;test_acc_mean;test_acc_std;test_prec_mean;test_rec_mean;test_time_mean;test_time_sum;model_cfg_json
logreg;9;4;imdb,sms;101,102;0.928059;0.034306;0.93961;0.046815;0.928277;0.928035;0.937894;0.046316;0.943813;0.053002;0.936268;0.939608;12.179581;48.718326;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}"
logreg;8;4;imdb,sms;101,102;0.922182;0.023847;0.939308;0.040824;0.942781;0.906043;0.930617;0.033438;0.942201;0.046121;0.945308;0.918322;12.166872;48.667489;"{""C"": 2.0, ""class_weight"": null, ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}"
logreg;4;4;imdb,sms;101,102;0.917873;0.032195;0.932408;0.048661;0.915914;0.920257;0.927047;0.048678;0.935375;0.058094;0.927061;0.927057;9.94154;39.76616;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}"
logreg;14;4;imdb,sms;101,102;0.917072;0.033366;0.931608;0.049753;0.915121;0.919457;0.926398;0.049425;0.934725;0.058844;0.926406;0.926407;9.38532;37.54128;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}"
logreg;19;4;imdb,sms;101,102;0.916905;0.027831;0.932887;0.04579;0.916662;0.91769;0.927464;0.046787;0.936147;0.056246;0.924916;0.930147;8.985793;35.943171;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 5, ""max_df"": 0.9, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": false, ""binary"": true}}"
logreg;7;4;imdb,sms;101,102;0.907371;0.02034;0.932323;0.038843;0.94021;0.885117;0.914906;0.020004;0.93462;0.042381;0.940058;0.895988;12.563755;50.255018;"{""C"": 1.0, ""class_weight"": null, ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}"
logreg;10;4;imdb,sms;101,102;0.907371;0.02034;0.932323;0.038843;0.94021;0.885117;0.914886;0.020026;0.9346;0.042404;0.940038;0.895968;12.438158;49.752632;"{""C"": 1.0, ""class_weight"": null, ""solver"": ""saga"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}"
logreg;18;4;imdb,sms;101,102;0.906192;0.023455;0.930563;0.040005;0.927569;0.890631;0.922377;0.03785;0.935225;0.052098;0.938658;0.908887;9.014213;36.05685;"{""C"": 2.0, ""class_weight"": null, ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 5, ""max_df"": 0.9, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": false, ""binary"": true}}"
logreg;3;4;imdb,sms;101,102;0.905494;0.023613;0.929863;0.040662;0.926847;0.889931;0.921577;0.038754;0.934425;0.053018;0.937849;0.908087;10.855699;43.422798;"{""C"": 2.0, ""class_weight"": null, ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 100000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}"
logreg;13;4;imdb,sms;101,102;0.905192;0.023596;0.929563;0.04089;0.926579;0.889631;0.921187;0.039197;0.934035;0.053467;0.93746;0.907697;9.30753;37.230119;"{""C"": 2.0, ""class_weight"": null, ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}"
