phase;regime;train_dataset;test_dataset;model;seed;train_size_used;test_size_used;timestamp;test_accuracy;test_f1_macro;test_precision_macro;test_recall_macro;test_elapsed_sec;model_cfg_json;class_src_json;class_tgt_json;file
phase4_transfer;size_matched;amazon;imdb;logreg;101;22500;25000;20251106_201715;0.84284;0.8419830981067751;0.8504415676600343;0.84284;14.24204549996648;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\logreg_trainamazon_testimdb_size_matched_s101_20251106_201715.json
phase4_transfer;size_matched;amazon;imdb;logreg;102;22500;25000;20251106_201855;0.8492;0.848722880193606;0.8536617192938207;0.8492;14.472160200006329;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\logreg_trainamazon_testimdb_size_matched_s102_20251106_201855.json
phase4_transfer;size_matched;amazon;imdb;logreg;103;22500;25000;20251106_202034;0.84412;0.8436303249851058;0.8484851551626852;0.84412;14.625155600020662;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\logreg_trainamazon_testimdb_size_matched_s103_20251106_202034.json
phase4_transfer;size_matched;amazon;imdb;nb;101;22500;25000;20251106_201729;0.85908;0.8588792135708618;0.8611352908560541;0.8590800000000001;13.827256400021724;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\nb_trainamazon_testimdb_size_matched_s101_20251106_201729.json
phase4_transfer;size_matched;amazon;imdb;nb;102;22500;25000;20251106_201909;0.8644;0.8643864386438644;0.8645458183273309;0.8644000000000001;13.86516670009587;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\nb_trainamazon_testimdb_size_matched_s102_20251106_201909.json
phase4_transfer;size_matched;amazon;imdb;nb;103;22500;25000;20251106_202048;0.8636;0.8635414158189731;0.8642254747923084;0.8635999999999999;14.055711000110023;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\nb_trainamazon_testimdb_size_matched_s103_20251106_202048.json
phase4_transfer;size_matched;amazon;imdb;rf;101;22500;25000;20251106_201823;0.81532;0.8138051109347697;0.8259270211237755;0.81532;53.75128810002934;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\rf_trainamazon_testimdb_size_matched_s101_20251106_201823.json
phase4_transfer;size_matched;amazon;imdb;rf;102;22500;25000;20251106_202002;0.82196;0.8210620346062117;0.8285551608136807;0.82196;53.02616489992943;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\rf_trainamazon_testimdb_size_matched_s102_20251106_202002.json
phase4_transfer;size_matched;amazon;imdb;rf;103;22500;25000;20251106_202140;0.8222;0.8212971276119632;0.8288457978391346;0.8222;52.40082700003404;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\rf_trainamazon_testimdb_size_matched_s103_20251106_202140.json
phase4_transfer;size_matched;amazon;imdb;svm;101;22500;25000;20251106_201701;0.8564;0.8558515985927622;0.8619073943917992;0.8564;14.072881300002337;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\svm_trainamazon_testimdb_size_matched_s101_20251106_201701.json
phase4_transfer;size_matched;amazon;imdb;svm;102;22500;25000;20251106_201841;0.86584;0.8656720457827347;0.8676788791435521;0.8658399999999999;14.699881799984723;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\svm_trainamazon_testimdb_size_matched_s102_20251106_201841.json
phase4_transfer;size_matched;amazon;imdb;svm;103;22500;25000;20251106_202019;0.85964;0.8594459136972852;0.8616374910844352;0.85964;14.125135199981742;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11302, ""1"": 11198}";"{""0"": 12500, ""1"": 12500}";results\transfer\svm_trainamazon_testimdb_size_matched_s103_20251106_202019.json
phase4_transfer;size_matched;enron;sms;logreg;101;2160;1115;20251106_200755;0.8959641255605382;0.7098542765873443;0.8169484395130544;0.6675003821195826;1.3154010999714956;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\logreg_trainenron_testsms_size_matched_s101_20251106_200755.json
