regime;train_dataset;test_dataset;model;n_runs;seeds;train_size_used_mean;test_size_used_mean;f1_mean;f1_std;acc_mean;acc_std;prec_mean;rec_mean;time_mean;time_sum
size_matched;amazon;imdb;logreg;3;101,102,103;22500.0;25000.0;0.844779;0.003514;0.845387;0.003364;0.850863;0.845387;14.446454;43.339361
size_matched;amazon;imdb;nb;3;101,102,103;22500.0;25000.0;0.862269;0.002966;0.86236;0.002869;0.863302;0.86236;13.916045;41.748134
size_matched;amazon;imdb;rf;3;101,102,103;22500.0;25000.0;0.818721;0.004259;0.819827;0.003905;0.827776;0.819827;53.059427;159.17828
size_matched;amazon;imdb;svm;3;101,102,103;22500.0;25000.0;0.860323;0.004969;0.860627;0.004797;0.863741;0.860627;14.299299;42.897898
size_matched;enron;sms;logreg;3;101,102,103;2160.0;1115.0;0.686902;0.021526;0.886099;0.008556;0.775138;0.6514;1.395058;4.185175
size_matched;enron;sms;nb;3;101,102,103;2160.0;1115.0;0.622065;0.024665;0.878027;0.009102;0.764224;0.593764;1.463075;4.389225
size_matched;enron;sms;rf;3;101,102,103;2160.0;1115.0;0.25345;0.041189;0.256203;0.045399;0.515951;0.513976;2.841707;8.525122
size_matched;enron;sms;svm;3;101,102,103;2160.0;1115.0;0.547292;0.014659;0.872347;0.000518;0.771506;0.543184;1.432429;4.297287
size_matched;imdb;amazon;logreg;3;101,102,103;22500.0;100000.0;0.831617;0.000839;0.83266;0.000763;0.840612;0.832458;27.346475;82.039426
size_matched;imdb;amazon;nb;3;101,102,103;22500.0;100000.0;0.823715;0.000228;0.82376;0.000236;0.82419;0.823808;26.152176;78.456527
size_matched;imdb;amazon;rf;3;101,102,103;22500.0;100000.0;0.741866;0.003516;0.751047;0.003004;0.791411;0.750554;85.29615;255.88845
size_matched;imdb;amazon;svm;3;101,102,103;22500.0;100000.0;0.841057;0.000916;0.841597;0.000866;0.845932;0.841449;26.553896;79.661689
size_matched;sms;enron;logreg;3;101,102,103;2160.0;600.0;0.777097;0.006523;0.886667;0.006009;0.809508;0.754667;0.31564;0.946921
size_matched;sms;enron;nb;3;101,102,103;2160.0;600.0;0.50926;0.024005;0.841111;0.005358;0.835324;0.527333;0.28626;0.858779
size_matched;sms;enron;rf;3;101,102,103;2160.0;600.0;0.599994;0.056534;0.828889;0.014369;0.660429;0.586667;1.334402;4.003205
size_matched;sms;enron;svm;3;101,102,103;2160.0;600.0;0.674254;0.033791;0.872222;0.008389;0.864634;0.635333;0.277411;0.832233
