phase;dataset;model;seed;train_frac;train_size_used;val_size_used;test_size_used;timestamp;test_accuracy;test_f1_macro;test_precision_macro;test_recall_macro;test_elapsed_sec;val_accuracy;val_f1_macro;val_precision_macro;val_recall_macro;model_cfg_json;file
phase5_learning_curve;imdb;logreg;101;0.05;1125;2500;25000;20251107_012837;0.83748;0.8374790948235665;0.8374875186819362;0.83748;10.88752220000606;0.836;0.8359794252591045;0.8361686759948672;0.836;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac5_s101_20251107_012837.json
phase5_learning_curve;imdb;logreg;102;0.05;1125;2500;25000;20251107_013823;0.82856;0.8284695757471021;0.8292542808540073;0.82856;9.935627900063992;0.8412;0.8409984878435535;0.842938506180773;0.8412;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac5_s102_20251107_013823.json
phase5_learning_curve;imdb;logreg;103;0.05;1125;2500;25000;20251107_014933;0.83752;0.8375146091246957;0.8375647983594162;0.83752;11.17858329997398;0.8376;0.837591580747546;0.8376700192551928;0.8376;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac5_s103_20251107_014933.json
phase5_learning_curve;imdb;logreg;101;0.1;2250;2500;25000;20251107_012919;0.84924;0.8492349282629867;0.8492870000587278;0.84924;11.205496900016442;0.8516;0.8515638765850058;0.8519425949996765;0.8515999999999999;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac10_s101_20251107_012919.json
phase5_learning_curve;imdb;logreg;102;0.1;2250;2500;25000;20251107_013903;0.85184;0.8517778311164164;0.8524312815736117;0.8518399999999999;11.101806799997576;0.8628;0.8627128171474012;0.8637239169448667;0.8628;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac10_s102_20251107_013903.json
phase5_learning_curve;imdb;logreg;103;0.1;2250;2500;25000;20251107_015023;0.85932;0.859298505088903;0.8595397069488588;0.8593200000000001;12.658097800100222;0.8516;0.851570907897948;0.8518758706826152;0.8516;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac10_s103_20251107_015023.json
phase5_learning_curve;imdb;logreg;101;0.2;4500;2500;25000;20251107_013005;0.86432;0.8643141609498767;0.8643827228013599;0.86432;12.752236200030893;0.8604;0.8603506423310254;0.860910240461555;0.8604;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac20_s101_20251107_013005.json
phase5_learning_curve;imdb;logreg;102;0.2;4500;2500;25000;20251107_013950;0.86888;0.8688375033510858;0.8693586888607635;0.86888;12.439171200036071;0.8768;0.8767381521352153;0.8775577735538335;0.8768;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac20_s102_20251107_013950.json
phase5_learning_curve;imdb;logreg;103;0.2;4500;2500;25000;20251107_015115;0.8688;0.8687762965900477;0.8690666633601709;0.8688;14.95576759998221;0.87;0.8699773448525672;0.8702580550540504;0.87;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac20_s103_20251107_015115.json
phase5_learning_curve;imdb;logreg;101;0.4;9000;2500;25000;20251107_013102;0.88256;0.882544195146899;0.8827660199825954;0.88256;15.346474999911152;0.8712;0.871125768442623;0.8720572198344987;0.8712;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac40_s101_20251107_013102.json
