dataset;model;train_frac;n_runs;seeds;train_size_used_mean;f1_mean;f1_std;acc_mean;acc_std;prec_mean;rec_mean;time_mean;time_sum;val_f1_mean;val_f1_std
imdb;logreg;0.05;3;101,102,103;1125.0;0.834488;0.005212;0.83452;0.005162;0.834769;0.83452;10.667244;32.001733;0.83819;0.002562
imdb;logreg;0.1;3;101,102,103;2250.0;0.853437;0.005233;0.853467;0.005233;0.853753;0.853467;11.655134;34.965402;0.855283;0.006435
imdb;logreg;0.2;3;101,102,103;4500.0;0.867309;0.002594;0.867333;0.00261;0.867603;0.867333;13.382392;40.147175;0.869022;0.008235
imdb;logreg;0.4;3;101,102,103;9000.0;0.882706;0.001172;0.88272;0.001168;0.882898;0.88272;16.291879;48.875637;0.881158;0.008745
imdb;logreg;0.6;3;101,102,103;13500.0;0.889792;0.000592;0.8898;0.000592;0.889909;0.8898;19.512446;58.537339;0.889577;0.003952
imdb;logreg;0.8;3;101,102,103;18000.0;0.894676;0.000866;0.89468;0.000866;0.894739;0.89468;22.666725;68.000174;0.894114;0.008211
imdb;logreg;1.0;3;101,102,103;22500.0;0.898251;0.000686;0.898253;0.000686;0.898297;0.898253;25.693506;77.080519;0.899586;0.005812
imdb;nb;0.05;3;101,102,103;1125.0;0.832035;0.002566;0.8322;0.002671;0.833524;0.8322;10.829899;32.489698;0.844599;0.000896
imdb;nb;0.1;3;101,102,103;2250.0;0.847658;0.006142;0.84776;0.006135;0.848692;0.84776;11.427451;34.282353;0.858654;0.001615
imdb;nb;0.2;3;101,102,103;4500.0;0.858902;0.004957;0.858987;0.00493;0.859842;0.858987;13.113852;39.341555;0.874663;0.003605
imdb;nb;0.4;3;101,102,103;9000.0;0.86592;0.004219;0.865973;0.004212;0.866556;0.865973;15.772171;47.316512;0.882131;0.004103
imdb;nb;0.6;3;101,102,103;13500.0;0.869046;0.001223;0.869093;0.001227;0.869627;0.869093;19.11624;57.34872;0.885466;0.002203
imdb;nb;0.8;3;101,102,103;18000.0;0.870821;0.001031;0.870867;0.001037;0.871393;0.870867;21.518912;64.556735;0.887999;0.005671
imdb;nb;1.0;3;101,102,103;22500.0;0.872208;0.000739;0.872253;0.000742;0.872786;0.872253;25.504443;76.51333;0.889599;0.003123
imdb;rf;0.05;3;101,102,103;1125.0;0.81017;0.003046;0.810187;0.003057;0.810298;0.810187;9.246104;27.738312;0.813724;0.010996
imdb;rf;0.1;3;101,102,103;2250.0;0.832253;0.005165;0.832293;0.005135;0.832605;0.832293;10.131382;30.394145;0.834792;0.009944
