dataset;model;seed;n_train;n_test;feat_dim;timestamp;test_accuracy;test_f1_macro;test_precision_macro;test_recall_macro;time_fit_tfidf_sec;time_fit_clf_sec;time_predict_sec;time_total_train_sec;time_total_infer_sec;model_size_bytes;file
imdb;logreg;101;22500;25000;100000;20251113_032950;0.89836;0.8983576970293563;0.8983961067985176;0.89836;13.316896500065923;0.7503708000294864;0.014978300081565976;14.06726730009541;0.014978300081565976;4751328;results\cost_profile\logreg_imdb_s101_20251113_032950.json
imdb;logreg;102;22500;25000;100000;20251113_033228;0.89752;0.8975177168587032;0.8975554275953526;0.8975200000000001;13.264333500061184;0.7605886999517679;0.015263000037521124;14.024922200012952;0.015263000037521124;4750960;results\cost_profile\logreg_imdb_s102_20251113_033228.json
imdb;logreg;103;22500;25000;100000;20251113_033511;0.89888;0.8988762618194449;0.8989389893530241;0.89888;14.119776800042018;0.7523562000133097;0.016117699909955263;14.872133000055328;0.016117699909955263;4751424;results\cost_profile\logreg_imdb_s103_20251113_033511.json
imdb;nb;101;22500;25000;100000;20251113_033015;0.87232;0.8722736964560771;0.8728606802014549;0.87232;13.355616500135511;0.03581309993751347;0.026385399978607893;13.391429600073025;0.026385399978607893;7151217;results\cost_profile\nb_imdb_s101_20251113_033015.json
imdb;nb;102;22500;25000;100000;20251113_033252;0.87296;0.8729119717057103;0.873524640165815;0.87296;13.476370200049132;0.037440399872139096;0.025927199982106686;13.513810599921271;0.025927199982106686;7150865;results\cost_profile\nb_imdb_s102_20251113_033252.json
imdb;nb;103;22500;25000;100000;20251113_033539;0.87148;0.8714374149293211;0.8719728491462048;0.87148;15.387657800223678;0.03952810005284846;0.04075439996086061;15.427185900276527;0.04075439996086061;7151329;results\cost_profile\nb_imdb_s103_20251113_033539.json
imdb;rf;101;22500;25000;200000;20251113_033137;0.86256;0.8625404688700761;0.8627661765602769;0.86256;11.348626800114289;57.69431149982847;2.221927599981427;69.04293829994276;2.221927599981427;462814773;results\cost_profile\rf_imdb_s101_20251113_033137.json
imdb;rf;102;22500;25000;200000;20251113_033415;0.8622;0.8621810694122047;0.8623991142499792;0.8622000000000001;11.172876399941742;58.914268399821594;2.1479782999958843;70.08714479976334;2.1479782999958843;463315541;results\cost_profile\rf_imdb_s102_20251113_033415.json
imdb;rf;103;22500;25000;200000;20251113_033708;0.86344;0.8634211114675053;0.863641162800306;0.86344;14.626860700082034;59.227007899899036;2.236493300180882;73.85386859998107;2.236493300180882;460800677;results\cost_profile\rf_imdb_s103_20251113_033708.json
imdb;svm;101;22500;25000;100000;20251113_032925;0.90436;0.9043599876050544;0.9043602096203327;0.90436;14.541409199824557;0.489237800007686;0.015127800172194839;15.030646999832243;0.015127800172194839;4751168;results\cost_profile\svm_imdb_s101_20251113_032925.json
imdb;svm;102;22500;25000;100000;20251113_033202;0.90356;0.9035599875013745;0.9035602092056124;0.9035599999999999;13.408190600108355;0.5090898999478668;0.014710899908095598;13.917280500056222;0.014710899908095598;4750800;results\cost_profile\svm_imdb_s102_20251113_033202.json
